Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Diesel (gal),Diesel (gal) Questionable,Gasoline (gal),Gasoline (gal) Questionable,Liquefied Petroleum Gas (gal equivalent),Liquefied Petroleum Gas (gal equivalent) Questionable,Compressed Natural Gas (gal equivalent),Compressed Natural Gas (gal equivalent) Questionable,Bio-Diesel (gal),Bio-Diesel (gal) Questionable,Other Fuel (gal/gal equivalent),Other Fuel (gal/gal equivalent) Questionable,Electric Propulsion (kWh),Electric Propulsion (kWh) Questionable,Electric Battery (kWh),Electric Battery (kWh) Questionable,Diesel (miles),Diesel Questionable,Gasoline (miles),Gasoline Questionable,Liquefied Petroleum Gas (miles),Liquefied Petroleum Gas Questionable,Compressed Natural Gas (miles),Compressed Natural Gas Questionable,Other Fuel (miles),Other Fuel Questionable,Electric Propulsion (miles),Electric Propulsion Questionable,Electric Battery (miles),Electric Battery Questionable,Diesel (mpg),Diesel (mpg) Questionable,Gasoline (mpg),Gasoline (mpg) Questionable,Liquefied Petroleum Gas (mpg),Liquefied Petroleum Gas (mpg) Questionable,Compressed Natural Gas (mpg),Compressed Natural Gas (mpg) Questionable,Other Fuel (mpg),Other Fuel (mpg) Questionable,Electric Propulsion (mi/kWh),Electric Propulsion (mi/kWh) Questionable,Electric Battery (mi/kWh),Electric Battery (mi/kWh) Questionable
"Academy Lines, Inc.",Hoboken,NJ,20122,Private-For-Profit Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",134,CB,DO,134.00,668954.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,3177531.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4.75,,,,,,,,,,,,,
Access Services,El Monte,CA,90157,Independent Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",719,DR,PT,506.00,0.00,,1561466.00,,0.00,,53117.00,,0.00,,0.00,,0.00,,0.00,,0.00,,24062772.00,,0.00,,2389644.00,,0.00,,0.00,,0.00,,,,15.41,,,,,,,,,,,
Access Services,El Monte,CA,90157,Independent Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",719,DR,TX,213.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
"Ada County Highway District, dba: ACHD Commuteride",Boise,ID,415,"City, County or Local Government Unit or Department of Transportation",Full Reporter,8785,"Boise City, ID","433,180",81,VP,DO,81.00,0.00,,93089.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1397501.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,15.01,,,,,,,,,,,
"Adirondack Transit Lines, Inc,",Hurley,NY,20177,Private-For-Profit Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",13,CB,DO,13.00,217501.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,3239304.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,14.89,,,,,,,,,,,,,
Alameda-Contra Costa Transit District,Oakland,CA,90014,Independent Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",546,CB,DO,24.00,148765.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,3615979.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,24.31,,,,,,,,,,,,,
Alameda-Contra Costa Transit District,Oakland,CA,90014,Independent Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",546,DR,PT,132.00,0.00,,530042.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4013634.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,7.57,,,,,,,,,,,
Alameda-Contra Costa Transit District,Oakland,CA,90014,Independent Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",546,MB,DO,359.00,3794681.00,,0.00,,0.00,,0.00,,0.00,,82307.00,,0.00,,297587.00,,15679322.00,,0.00,,0.00,,0.00,,0.00,,0.00,,138789.00,,4.13,,,,,,,,,,,,0.47,
Alameda-Contra Costa Transit District,Oakland,CA,90014,Independent Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",546,MB,PT,15.00,75822.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,465818.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,6.14,,,,,,,,,,,,,
Alameda-Contra Costa Transit District,Oakland,CA,90014,Independent Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",546,RB,DO,16.00,236164.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,873609.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,3.70,,,,,,,,,,,,,
